skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Holy Freeze	114		holy freeze		81																303747	holywind	holywindcold		ln12	velocitypercent	0	attackrate	0	other_animrate	0																	coldmindam	enms*par5/256	coldmaxdam	exms*par5/256																																																										1	8		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														6	radius	1	additional radius per level	20	min% slowing	50	max% slowing	5	damage to attack multiplier	0	?	7	damage synergy	15	damage synergy	1				16385				8															cold	2	1	2	3	4	5	3	1	2	3	4	5	(blvl*5)*(ulvl*6)								640	16000
Vigor	115		vigor		65																73731	stamina	stamina		ln12	staminarecoverybonus	ln34	skill_staminapercent	ln34	velocitypercent	dm56																																																																													1	1	1		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														16	radius	3	additional radius per level	50	% faster stamina recovery and max stamina	25	% additional stamina recovery and max stamina	7	min % speed increase	50	max % speed increase					1								8																																				640	16000
Conversion	116		conversion	32	79																		conversion	ln12																																																								1																													1	0		h2h		mele										A1	A1	xx				1		1	1								1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	8	4	0	1										dm34	chance to convert							400	duration of conversion (frames)	0	additional frames/level	0	min % chance convert	50	max % chance convert	0	?	0	?					1								8	128																																			768	32000
Holy Shield	117	pal	holy shield	36	18																	holyshield		ln12		toblock	dm56		ln34+skill('Defiance'.blvl)*par8																																																paladin_holyshield																																1	3		none		shld										SC	SC	xx															1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	35	0	1	1									ln34+skill('Defiance'.blvl)*par8	ac bonus to shield							750	duration of shield	625	duration/level	25	AC bonus	15	AC bonus per level	10	min % ToBlock Add	40	max % ToBlockAdd			15	armor synergy	1								8		3	2	3	4	4	4	6	2	3	4	4	4																							768	32000
Holy Shock	118		holy shock		66																42883	holyshock			ln12																							lightmindam	1	lightmaxdam	exms*par5/256																																																										1	4		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														6	radius	3	additional radius per level					1	damage to attack multiplier	0	?	4	damage synergy	12	damage synergy	1				16385				8															ltng	1						10	6	8	10	12	15	(blvl*5)*(ulvl*6)								768	32000
Sanctuary	119		sanctuary		66																59270	sanctuary			ln12	item_undeaddamage_percent	ln34	item_undead_tohit	ln56	skill_bypass_undead	1																																																									cast_undead									sanctuarybolt												1	0		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	1	0	1	1	1		50														5	radius	3	additional radius per level	150	% damage to undead	30	% damage per level	100	att vs. undead	50	att vs. undead per level			7	damage synergy	1				11		157		8															mag	8	4	4	5	5	6	16	4	5	6	6	7	(blvl*5)*(ulvl*6)								768	32000
Meditation	120		meditation		65																73729	meditation	meditation		ln12	manarecoverybonus	ln34	hitpoints	skill('Prayer'.edns)																																																																																1	7		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														16	radius	3	additional radius per level	300	% boost to mana recovery	25	% additional boost/level	0	?	0	?					1								8																																				768	32000
Fist of the Heavens	121	pal	fist of the heavens		80												fistoftheheavensdelay			handofgod	42375				20																																																				paladin_handofgod_cast															36					fistoftheheavensdelay												1	7		none												SC	SC	xx					4			1							1		1			4					(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												25	1						1	8	25	0	1										ln34	min heal	ln56	max heal			ln12	# bolts	6	holy bolts to release	2	holy bolts per level	1	min hitpoints healed	2	hitpoints healed per level	6	max hitpoints healed	2	hitpoints healed per level			7	damage synergy	1								8															ltng	13	15	30	45	55	65	24	15	30	45	55	65	(blvl*5)*(ulvl*6)								896	64000
Fanaticism	122		fanaticism		65																73731	fanaticism	fanaticism		ln12	attackrate	dm34	item_tohit_percent	toht	damagepercent	ln56/2	velocitypercent	(blvl*blvl*4)/5+1+blvl															damagepercent	ln56																																																											1	1	8		none														S1																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														11	radius	3	additional radius per level	10	min% boost	40	max% boost	50	% damage boost	55	% damage bonus per level					1	40	5						8																																				896	64000
Conviction	123	pal	conviction		66																42371	conviction	conviction		10+(blvl*4)	skill_armor_percent	0	fireresist	10+(blvl*4)	coldresist	10+(blvl*4)	lightresist	10+(blvl*4)	poisresist	10+(blvl*4)																																																																										1	6		none		mele												xx	5		1														1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														20	radius	0	additional radius per level	1	% resist reduction	1	% resist reduction per level	20	min % AC reduction	60	max % AC reduction					1								8																																				896	64000
Redemption	124	pal	redemption		82																4354	redemption			ln12																																																																								redemption												1	0		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50						dm34	chance to redeem	ulvl*(ulvl*4)	hp gain	ulvl*(ulvl*4)	mana gain		zmena desc	16	radius	3	additional radius per level	10	min % chance redeem	100	max % chance redeem	25	HP and mana gained	10	HP and mana gained/level					1								8																																				896	64000
Salvation	125		salvation		65																73731	resistall	resistall		ln12	fireresist	dm34	coldresist	dm34	lightresist	dm34																																																																													1	1	8		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														16	radius	3	additional radius per level	50	min % resist	100	max % resist									1								8																																				896	64000
Bash	126	bar	bash	32	2																																																																									barbarian_grunt_small_1	1																														1	7		h2h		mele										A1	A1	xx				1		1	1								1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	8	2	0	1										ln12	damage%	ln34	post dmg add	lvl*40	attack rate bonus	edmn	bude to proste shield throw	50	Damage % base	80	Damage % per level	10	Min Damage	30	Min Damager per level					50	to hit synergy	5	damage synergy	1			lvl*50	8		112		8	128														phys	5	25					10	30													256	1000
Sword Mastery	127	bar	sword mastery																																											swordmastery		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56	item_fasterattackrate	10+ulvl/5																																																						1	0		none												SC	SC	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1		1				1											mastery pro vsechny melee	34	Attack % base	32	Attack % per level	34	Damage % base	32	damage % per level	0	critical%	35	critical%					1								8																																				256	1000
Axe Mastery	128		axe mastery																																											axemastery		item_strength_percent	5+lvl	item_dexterity_percent	5+lvl	item_vitality_percent	5+lvl	item_energy_percent	5+lvl																																																						1	0		none												SC	SC	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1		1				1												28	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level	0	critical%	35	critical%					1								8																																				256	1000
Mace Mastery	129		mace mastery																																											macemastery		damagepercent	stat('item_magicbonus'.accr)	passive_fire_mastery	stat('item_magicbonus'.accr)/50	passive_ltng_mastery	stat('item_magicbonus'.accr)/50	passive_cold_mastery	stat('item_magicbonus'.accr)/50	passive_pois_mastery	stat('item_magicbonus'.accr)/50																																																				1	0		none												SC	SC	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1		1				1												28	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level	0	critical%	35	critical%					1								8																																				256	1000
Howl	130	bar	howl		22												howl						terror																																																							barbarian_howl_1														25					howl				par1 * (lvl-1)	velocity adder							1	0		none												SC	SC	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	4	0	1										par1 * (lvl-1)	velocity adder							2	Velocity/level increase	1	Plev+Slev+n	24	Distance to retreat	5	Distance per level	75	Time to retreat	25	Time per level					1								8																																				256	1000
Find Potion	131	bar	find potion	33	69																																																																							1		barbarian_findobject_1							barbarian_findheart_1						26	38																	1	0		h2h												SC	SC	xx				1				1		4	1						1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	2	0	1										dm12+(stat('skillpower'.accr)*2)	chance						lektvary	20	min chance to find heart	100	max chance to find heart	35	Chance of finding a mana potion	25	Chance of finding rejuv									1								8																																				256	3000
Leap	132	bar	leap	40	77												leapknockback								dm12																																																			1		barbarian_leap_1													29	43																	1	0		none												SQ	A1	xx	13		1														1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	8	2	0	1										ln34	knockback radius							4	min distance	30	max distance	4	Knockback range	1	knockback range per level									1								8																																				384	3000
Double Swing	133	bar	double swing		70																																																																											1											27	39									par5	attack rate bonus							1	5		h2h	3	mele					mele					SQ	A1	xx	11		1	1		1	1								1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						0	5	8	-1	1										skill('Bash'.blvl)+(stat('skillpower'.accr)*3)	damage%		post dmg add	par5	attack rate bonus			50	Attack rate bonus							50	Attack rate bonus					10	damage synergy	1	15	5						8	128																																			384	3000
Pole Arm Mastery	134		pole arm mastery																																											polearmmastery	pole	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1						1												30	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level	0	critical%	35	critical%					1								8																																				384	3000
Throwing Mastery	135	bar	throwing mastery																																											throwingmastery	thro	passive_mastery_throw_th	ln12	passive_mastery_throw_dmg	ln34	passive_mastery_throw_crit	dm56																																																								1	0		none												SC	SC	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1						1												30	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level	0	critical%	35	critical%					1								8																																				384	3000
Spear Mastery	136		spear mastery																																											spearmastery	spea	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1						1												30	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level	0	critical%	35	critical%					1								8																																				384	3000
Taunt	137	bar	taunt		71																34179		taunt			item_tohit_percent	ln12	damagepercent	ln34																																																	barbarian_taunt_1																															1	0		none												SC	SC	S1				1				1									1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	3	0	1																		-10	% to hit for target	-5	% to hit/level	-20	% damage for target	-5	% damage/level									1								8																																				384	3000
Shout	138	bar	shout		68												shout					shout	shout	ln34+(skill('Battle Orders'.blvl)+skill('Battle Command'.blvl))*par8		skill_armor_percent	ln12+(stat('skillpower'.accr)*2)	normal_damage_reduction	dm56*blvl/3																																																	barbarian_shout_1														25					shout												1	8		none												SC	SC	SC				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	6	0	1										20+par2*(ulvl+10/10)*(blvl*3)/10+(stat('skillpower'.accr)*5)		dm56*blvl/3						50	% AC bonus for friendlies	4	% AC bonus per level	500	duration	250	duration/level	10		75				125	duration synergy	1								8																																				384	3000
Stun	139		stun		8									throwscimitar			throwscimitar																																																													barbarian_grunt_small_1	1																	throwscimitar	throwscimitar												1	0		none		mele										SC	SC	xx				1		1	1								1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	8	2	0	1										skill('Bash'.blvl)								30	Frames the target is stunned	5	additional frames/level							5	stun synergy	5	to hit synergy	8	damage synergy	1			10+lvl*5+skill('Concentrate'.blvl)*par7			96		8	128	500	300					700	300					1000	stun														30	500	300	2	ulvl*5			9000	320200
Double Throw	140	bar	double throw		74																																																																																						11	42																	1	5		rng	3	thro					thro					SQ	A1	xx	15		1	1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1		6				1	8	1	0	1										skill('Double Swing'.blvl)+(stat('skillpower'.accr)*20)	damage%							0	?	0	?											8	damage synergy	1	20	10						8	128																																			512	8000
Increased Stamina	141		increased stamina																																											increasedstamina		skill_passive_staminapercent	ln12																																																												1	0		none												SC	SC	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1						1												30	% stamina increase	15	% stamina increase per level													1								8																																				512	8000
